#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
73,"Lamb's Wool","Foster The People",59,179,"indietronica, modern alternative rock, modern rock, rock","Pop, Rock","Lamb's Wool",2020-05-22,04:36,43,61,11,0,23,0,10,-8,G#/A♭ Minor,4,2023-10-11,7egu63DOhNpivWOpGtzqGS,"Foster The People",1A,https://p.scdn.co/mp3-preview/8d6c69e55de55e63211d6ee32694ad801174c2b0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519cc53bd85a8f6efbadc4d054
74,"Sweetie Little Jean - Unpeeled","Cage The Elephant",40,148,"modern alternative rock, modern rock, pov: indie, punk blues, rock","Rock, Pop, Blues","Unpeeled",2017-07-28,03:26,57,63,13,0,47,0,20,-3,B Minor,4,2023-10-11,6tCFrID3KK6XbhdjZi5Dev,"RCA Records Label",10A,https://p.scdn.co/mp3-preview/0b7c51c2b36914a17d523ca91f641a6e65129292?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485172b478dedd009d6b8d6e7971
75,"In Our Prime","The Black Keys",44,78,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock","Rock, Pop, Blues","Turn Blue",2014-05-09,04:38,28,63,8,0,34,0,10,-7,B Major,4,2023-10-11,3OpoDVx3Ct42RM68Bvffvy,"Nonesuch",1B,https://p.scdn.co/mp3-preview/59b21c274360cc3c2eb4389ec45946271eb1b84d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511af8fb0d8859055d35d2290f
76,"Apartment 402","girl in red",4,125,"bedroom pop, indie pop, norwegian indie, pov: indie","Pop, Electronic","if i could make it go quiet",2021-04-30,03:25,44,44,68,86,5,0,10,-8,F Minor,4,2023-10-11,4HHa6HZxKsgTLldpwQPs4D,"world in red",4A,,https://i.scdn.co/image/ab67616d000048511e84dffc6dfde82a3e3a91d2
77,"Something Good","alt-J",0,109,"indie rock, indietronica, modern alternative rock, modern rock, rock","Rock, Pop","An Awesome Wave",2012-05-28,03:38,68,59,73,49,53,0,0,-10,G Major,4,2023-10-11,4VPZX5qq0mujdIrVhLFROu,"Infectious",9B,,https://i.scdn.co/image/ab67616d000048511b6dedfcf8b05b06b6bd002f
78,".","girl in red",4,152,"bedroom pop, indie pop, norwegian indie, pov: indie","Pop, Electronic","if i could make it go quiet",2021-04-30,02:46,45,91,8,83,32,20,10,-7,A#/B♭ Major,4,2023-10-11,6akffeWlG2JB4u8AOJ4WRo,"world in red",6B,,https://i.scdn.co/image/ab67616d000048511e84dffc6dfde82a3e3a91d2
79,"Solar Power","Lorde",0,88,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Solar Power",2021-06-10,03:12,74,47,27,0,90,10,30,-9,E Major,4,2023-10-11,3KdoeNlEN0BoAKWzaRLNZa,"Universal Music New Zealand Limited",12B,,https://i.scdn.co/image/ab67616d00004851d08ee7bfe4aaf52168247de7
80,"Let It Happen","Tame Impala",82,125,"australian psych, modern rock, neo-psychedelic, rock","Metal, Rock, Folk/Acoustic","Currents",2015-07-17,07:47,60,88,0,3,58,0,10,-6,C♯/D♭ Minor,4,2023-10-11,2X485T9Z5Ly0xyaghN73ed,"Universal Music Australia Pty. Ltd.",12A,,https://i.scdn.co/image/ab67616d000048519e1cfc756886ac782e363d79
81,"Perfect Places","Lorde",72,104,"art pop, metropopolis, nz pop, pop","Pop, Electronic","Melodrama",2017-06-16,03:41,62,58,0,0,51,0,10,-5,C♯/D♭ Minor,4,2023-10-11,7ARveOiD31w2Nq0n5FsSf8,"Universal Music New Zealand Limited",12A,,https://i.scdn.co/image/ab67616d00004851f8553e18a11209d4becd0336
82,"i'll die anyway.","girl in red",4,158,"bedroom pop, indie pop, norwegian indie, pov: indie","Pop, Electronic","i'll die anyway.",2019-07-17,03:12,47,63,0,57,17,0,0,-7,C Major,4,2023-10-11,7yyJF1BYBaCifNmO1RGhv7,"world in red",8B,,https://i.scdn.co/image/ab67616d00004851ba7df0fab9688ed94268d848
