#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
167,"Not","Big Thief",52,140,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Two Hands",2019-10-11,06:07,42,79,10,0,54,0,10,-7,B Major,4,2023-10-11,7lrhugjSbiImrNSLIFIq0c,"4AD",1B,https://p.scdn.co/mp3-preview/75a99b60cd015395c8dde413ff1c8c348f26615d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851703934c48722bfe1ebfc7f4f
168,"100% Endurance","Yard Act",50,115,"crank wave, uk post-punk revival","Rock","The Overload",2022-01-21,03:45,81,54,56,0,76,0,0,-7,F Major,4,2023-10-11,0jhDyfdBiRfMi3jh9z2S0U,"Universal-Island Records Ltd.",7B,,https://i.scdn.co/image/ab67616d00004851e9cb95bcfb8b7ce00a2c2fa0
169,"Next of Kin","Alvvays",38,161,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie","Pop, Rock","Alvvays",2014-07-21,03:48,33,89,36,77,61,0,20,-4,A Major,4,2023-10-11,6ltwQhB1VYzr7QLpJYwwXn,"Transgressive",11B,https://p.scdn.co/mp3-preview/4193233156152bd2d1bc773bcf7e1962b94b05fa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851262a1a1877d135af75d94198
170,"Jackie Down The Line","Fontaines D.C.",61,135,"crank wave, irish indie rock, irish post-punk","Rock","Skinty Fia",2022-04-22,04:01,55,88,1,0,44,0,0,-5,G Major,4,2023-10-11,3ITvhrRB5TlEks19k9qy2k,"Partisan Records",9B,https://p.scdn.co/mp3-preview/7c62b326deb5411eda2bc692681ed81d5d4b1d9e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fa10fcd519ad13a7512805ca
171,"Moderation","Cate Le Bon",37,113,"art pop, chamber pop, chamber psych, welsh indie","Pop, Folk/Acoustic, Rock","Pompeii",2022-02-04,04:04,65,50,71,11,48,0,10,-8,D Major,4,2023-10-11,37b6kWoGcs9N824ygyDldX,"Mexican Summer",10B,https://p.scdn.co/mp3-preview/cd60f1953f6fffa5b26a4bce6173729729fd811b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ce380d1d24b88f873285a348
172,"Confirmation (SSBD)","Westerman",48,122,"uk alternative pop","Pop","Your Hero Is Not Dead",2020-06-05,04:18,78,47,80,16,48,0,10,-9,G#/A♭ Major,4,2023-10-11,0gcNTflElPYcxajA1LelYd,"Play It Again Sam",4B,https://p.scdn.co/mp3-preview/25fcff90e41bd5128e3f596951631d6047c3300f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512e29c9c2ee7059bf572ddca7
173,"Time's Been Reckless","Marika Hackman",29,118,"ambient folk","Folk/Acoustic","I'm Not Your Man (Deluxe)",2017-06-02,03:54,65,38,81,0,42,0,10,-8,D Major,4,2023-10-11,72pWnxFf152HWvGhHvXbPv,"EMI",10B,,https://i.scdn.co/image/ab67616d00004851547f953e6f0a7403a9248d3d
174,"Sisyphus","Andrew Bird",61,83,"baroque pop, chamber pop, chicago indie, indie rock, melancholia, stomp and holler","Pop, Rock, Folk/Acoustic","My Finest Work Yet",2019-03-22,04:07,63,79,23,0,46,0,0,-4,C Minor,4,2023-10-11,403vzOZN0tETDpvFipkNIL,"Loma Vista Recordings",5A,,https://i.scdn.co/image/ab67616d0000485174ffdd29cc4898e8ed01d747
175,"Age of Anxiety I","Arcade Fire",53,125,"alternative rock, baroque pop, canadian indie, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock","Rock, Pop","WE",2022-05-06,05:27,36,41,22,1,23,0,10,-12,F#/G♭ Minor,4,2023-10-11,76365icROsgrLvYVImAnyP,"Columbia",11A,https://p.scdn.co/mp3-preview/be0d349c0fa05fa8f0fb14abcb0a6e897eda0960?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517667e7eb07e22fcbc6997d67
176,"King","Florence + The Machine",63,106,"baroque pop, electropop, modern rock, uk alternative pop","Pop, Rock","Dance Fever",2022-05-13,04:40,73,45,14,0,9,0,10,-8,F#/G♭ Minor,4,2023-10-11,31ABtQJdfloNaGz7ZhXaN5,"Polydor Records",11A,,https://i.scdn.co/image/ab67616d000048515fd9e21618182df7d70b2186
177,"Simple Pleasures","Jake Bugg",36,157,"modern rock, nottingham indie","Rock","Shangri La",2013-01-01,05:01,39,56,7,0,22,0,10,-4,C♯/D♭ Minor,4,2023-10-11,076tTXccdu98igXsVswsmP,"EMI",12A,,https://i.scdn.co/image/ab67616d000048519bd74c4fcced84c26e533081
178,"If I Had A Gun...","Noel Gallagher's High Flying Birds",0,152,"britpop","Pop","Noel Gallagher's High Flying Birds",2011-01-01,04:09,30,75,5,5,18,0,10,-3,F#/G♭ Minor,4,2023-10-11,4QyfiYXG4gU4bWFXRLLOFs,"Mercury Records",11A,,https://i.scdn.co/image/ab67616d00004851863d646df9fe299336f8acfb
179,"Amalfi","Hooverphonic",44,138,"downtempo, electronica, trip hop","Electronic, Pop","Reflection",2013-11-18,03:17,49,73,37,0,34,0,0,-6,A Major,4,2023-10-11,5CjTwCKG5z1xroRkWasO4l,"Columbia",11B,https://p.scdn.co/mp3-preview/f94e6e564ad793310903de456d8a00220918fa1a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bade97c6c0675c92d5ca7ed5
180,"Theworstthing","Parcels",56,81,"aussietronica, indie soul","Electronic, R&B","Day/Night",2021-11-05,03:03,76,35,41,3,62,0,10,-11,C Minor,4,2023-10-11,0EvZksFiDpboeG4UVaIvJa,"Because Music",5A,https://p.scdn.co/mp3-preview/80e333b12840acd724c1d7ee2799c45c82ef6425?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514148eebf7cfaf56f5d3bb144
181,"New Slang","The Shins",57,130,"albuquerque indie, alternative rock, canadian indie, chamber pop, indie pop, indie rock, modern rock, portland indie, seattle indie, shimmer pop, stomp and holler","Rock, Pop, Folk/Acoustic","Oh, Inverted World",2001-06-19,03:51,67,39,61,14,65,0,0,-12,C Major,4,2023-10-11,1wAqhAF1dynDjMy7m5CSSE,"Sub Pop Records",8B,https://p.scdn.co/mp3-preview/c3579970b16dcf387ea197cf8882ecd154162896?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bcf47dc308162706db7b4fb0
182,"Good Day","Bombay Bicycle Club",44,122,"british indie rock, chamber pop, indie rock, indietronica, modern rock, shimmer pop","Rock, Pop","Everything Else Has Gone Wrong",2020-01-17,03:52,82,50,20,8,15,0,0,-12,C♯/D♭ Major,4,2023-10-11,2dHTK5Bc61ddJ07vhpNnfn,"Mmm...Records",3B,,https://i.scdn.co/image/ab67616d000048515bc7404d0cac37b3f5231170
183,"Since U Been Gone","Kelly Clarkson",76,131,"dance pop, pop, talent show","Pop","Breakaway",2004-00-00,03:08,66,74,0,6,38,0,10,-5,A Minor,4,2023-10-11,6JY1IdkZGeIcPegKxjSKeb,"RCA Records Label",8A,https://p.scdn.co/mp3-preview/3010d17f854dad67cb0133a5687d871366d67882?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851158c72ad0003cb37ca0c9eff
184,"405 - Metronomy x Biig Piig","Metronomy,Biig Piig",58,130,"alternative dance, electronica, french indie pop, indietronica, neo-synthpop, new rave, socal pop punk, indie soul, modern alternative pop","Rock, Electronic, Pop, R&B","405 - Metronomy x Biig Piig",2021-09-14,04:25,73,46,23,6,44,0,10,-10,C Major,4,2023-10-11,1KjLbuPsJmYdZJt0CsyVAg,"Because Music Ltd.",8B,https://p.scdn.co/mp3-preview/3b293a50a30e037c445eb8aac4e65d1c28587429?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485185eb4a284e25f67b3bd46f9d
185,"Acolyte","Slaughter Beach, Dog",62,124,"alternative emo, bubblegrunge, lo-fi emo, pov: indie, small room","Rock, Pop","Birdie",2017-10-27,05:16,79,48,78,9,77,0,10,-11,A Major,4,2023-10-11,2h0O3uXZW6ClktlgHWGpjy,"Lame-O Records",11B,https://p.scdn.co/mp3-preview/694e2a0da069628d4620fa2d493732675fd8e62a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485131f1b75908a49ad904783799
186,"Cathy Come Home","Flyte",41,109,"english indie rock","Rock","The Loved Ones",2017-08-25,03:44,42,50,33,0,27,0,10,-8,C Major,4,2023-10-11,6yOYX1oEKWkGshyYtxlJ16,"Universal-Island Records Ltd.",8B,,https://i.scdn.co/image/ab67616d00004851bfcfcbc3382a663283113d0f
187,"Mr Schwartz","Arctic Monkeys",60,128,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","The Car",2022-10-21,03:30,57,34,80,2,39,0,0,-14,B Minor,4,2023-10-11,5fClRRa7P9nPIpstj50veV,"Domino Recording Co",10A,https://p.scdn.co/mp3-preview/6329e872f8144cc8a3a1bb89b04b2475ff290b8b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485107823ee6237208c835802663
188,"Ain't It Easy","Alex G",56,93,"philly indie, pov: indie","Rock, Pop","God Save The Animals",2022-09-23,02:54,66,45,42,40,20,0,0,-10,B Major,4,2023-10-11,3YdkukHIzvVxSvY92JAVw3,"Domino Recording Co",1B,https://p.scdn.co/mp3-preview/11d852c160dd3c76a1fb1d1191b5025450a999d1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515cce078fbf09bbe8211caf12
189,"Smoke Signals","Phoebe Bridgers",65,88,"indie pop, la indie, pov: indie","Pop","Stranger in the Alps",2017-09-22,05:24,27,24,95,0,19,0,10,-15,A#/B♭ Major,1,2023-10-11,5w52BJAqGkV1ewaCVLmjhi,"Dead Oceans",6B,https://p.scdn.co/mp3-preview/adc4fa7d3a4afe8a9a408d5f11af8d744105f275?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485168b90c3b34c3ac22856ddab8
190,"It's Not Just Me, It's Everybody","Weyes Blood",0,75,"art pop, chamber pop, experimental folk, experimental pop, indie pop","Pop, Folk/Acoustic","It's Not Just Me, It's Everybody",2022-09-12,06:16,43,34,86,2,16,0,20,-12,C Major,4,2023-10-11,2OcLJRW0pTyYAxT43N5ccm,"Sub Pop Records",8B,,https://i.scdn.co/image/ab67616d00004851a1c25c0cd4a2d1c7e5d62c63
191,"Song To Sing When I'm Lonely","John Frusciante",53,114,"acoustic rock","Rock","Shadows Collide With People",2004-02-24,03:15,63,67,29,1,42,0,10,-4,F#/G♭ Major,4,2023-10-11,2a0WwSvmFdXPTdDMilPA1y,"Warner Records",2B,https://p.scdn.co/mp3-preview/21f399da7eae873d25457eb7ab51cca377265496?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851170c1534eab1173ca18982ed
192,"Too Late Now","Wet Leg",55,156,"crank wave, indie rock","Rock","Wet Leg",2022-04-08,03:29,36,66,1,64,45,0,10,-7,G Major,4,2023-10-11,0k8v4D655QaAyuRNvQ9d7K,"Domino Recording Co",9B,https://p.scdn.co/mp3-preview/29634d2f55e3d0d79b4eb93e494c00bce75cb072?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ea1126a33b0fb88e79915262
193,"What A Day - Edit","Ben Howard",50,136,"british singer-songwriter, folk-pop, stomp and holler","Folk/Acoustic, Pop","Collections From The Whiteout",2021-03-26,04:17,66,43,54,7,59,0,0,-9,G Major,4,2023-10-11,3MW8spctuyf70mNAWhDlBv,"Universal-Island Records Ltd.",9B,,https://i.scdn.co/image/ab67616d00004851f035b252f8de6014648fdcb3
194,"Eet","Regina Spektor",50,142,"indie pop, lilith, piano rock","Pop, Folk/Acoustic, Rock","Far",2009-06-09,03:50,67,45,57,0,17,0,0,-12,C♯/D♭ Major,4,2023-10-11,0N9WhEz6DiBDvBxa6uJCTY,"Sire",3B,https://p.scdn.co/mp3-preview/bb463036d152aae7267276041e0819fb7c498104?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048518c8d5428b693308705e7caca
195,"Jennifer","Everything Everything",41,158,"british indie rock, experimental pop, modern rock, new rave, northern irish indie, shimmer pop","Rock, Pop","Raw Data Feel",2022-05-20,04:17,57,79,11,0,72,0,30,-7,A Major,4,2023-10-11,0CtQMil54kzybZVGAFAZ0S,"Infinity Industries",11B,https://p.scdn.co/mp3-preview/6d51a7fd5b040b813f2a5c5dfd3946eb6e873697?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851319985d0968916cb82f55df5
196,"The 1975","The 1975",61,141,"modern alternative rock, modern rock, pop, pov: indie, rock","Rock, Pop","Being Funny In A Foreign Language",2022-10-14,04:10,54,43,90,17,50,0,10,-10,A Major,4,2023-10-11,7omxuGYsym1n2RlVf86OF9,"Dirty Hit",11B,https://p.scdn.co/mp3-preview/90c416b242a2735a8de84f2d5268d1e95de0948e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511f44db452a68e229650a302c
197,"In Your Head","Nilüfer Yanya",32,133,"art pop, uk alternative pop","Pop","Miss Universe",2019-03-22,03:27,57,52,0,0,47,0,10,-7,A Major,4,2023-10-11,1SzrxXohWAo4SfGPuBCtiR,"ATO Records",11B,https://p.scdn.co/mp3-preview/7dcd77c689774c27fec42b5ab4baf30b256683dc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851681430bd9bfa660629d78cef
198,"Neighborhood #1 (Tunnels)","Arcade Fire",59,127,"alternative rock, baroque pop, canadian indie, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock","Rock, Pop","Funeral",2004-06-16,04:48,28,74,6,1,21,0,20,-6,C Major,4,2023-10-11,0WZZJ0mDKIkLfL0710ssZt,"Sony Music CG",8B,https://p.scdn.co/mp3-preview/e991cf38fa75f627f535379164b72cc0a7df7050?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517870762a58313ad6f981d664
199,"Feeling Like I Do - Spotify Singles","Snail Mail",39,130,"art pop, baltimore indie, bubblegrunge, indie pop, indie rock","Pop, Rock","Spotify Singles",2022-06-29,03:56,48,83,0,0,72,0,20,-9,G#/A♭ Minor,4,2023-10-11,2NqGPfYbG0MyeLi3EMmHuR,"Matador",1A,https://p.scdn.co/mp3-preview/7eec80e90c8bdb1a9dd15c0e36141b1aaf2b4721?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f7299d9405f01e37027fdaa1
200,"End of Beginning","Djo",0,160,"indie pop, pov: indie, psychedelic pop","Pop","DECIDE",2022-09-16,02:39,69,45,3,0,92,0,0,-8,D Major,4,2023-10-11,6ZWIIawlXC4O3z9yEuJvDo,"Djo",10B,,https://i.scdn.co/image/ab67616d00004851da27026597de2d0d940990d2
201,"Headroom Piano","Alex G",42,99,"philly indie, pov: indie","Rock, Pop","God Save The Animals",2022-09-23,02:53,70,49,21,95,81,0,0,-8,D Major,4,2023-10-11,4EskFFJbNoR2bW9g1wdocP,"Domino Recording Co",10B,https://p.scdn.co/mp3-preview/bad9a980d3a8b503762edc58de23f50310b6316d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515cce078fbf09bbe8211caf12
202,"Love, Try Not To Let Go","Julia Jacklin",40,125,"chamber pop, countrygaze, indie pop, sydney indie","Pop, Folk/Acoustic, Rock","PRE PLEASURE",2022-08-26,03:43,74,48,50,1,50,0,10,-10,C Major,4,2023-10-11,1QA866USiCp0xLtPACLVlf,"Transgressive",8B,https://p.scdn.co/mp3-preview/47eb4e3f7270dc5a4ebfe2579fb6d1be2bab1d54?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d0ca9bc6272f1ebd893bb256
203,"Moment","Balthazar",36,125,"belgian indie, belgian rock, ghent indie","Rock","Sand",2021-02-26,03:27,89,64,12,69,84,0,0,-9,F#/G♭ Minor,4,2023-10-11,2bThGYFKVCo2Dd7UWCC4hk,"Play It Again Sam",11A,https://p.scdn.co/mp3-preview/55f9831317ae478e5fd40b65a2037edbe1b6718d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f5923a4766a342f82b6e9c57
204,"The Dream Synopsis","The Last Shadow Puppets",56,130,"baroque pop, modern rock, sheffield indie","Pop, Rock","Everything You've Come To Expect (Deluxe Edition)",2016-12-02,03:03,49,58,12,0,37,0,10,-9,E Major,4,2023-10-11,1iPeDwic3VEt0T75NyVoaG,"Domino Recording Co",12B,https://p.scdn.co/mp3-preview/a89cfb91d97893692e31ce15cff8f768a480007b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485199845928b10d57ec9f95e953
205,"Bones","Soccer Mommy",42,103,"art pop, bubblegrunge, indie pop, indie rock, small room","Pop, Rock","Sometimes, Forever",2022-06-24,04:05,33,78,12,74,41,0,30,-5,A Major,4,2023-10-11,4CIL3FpMHtxaS5nRP52Agf,"Loma Vista Recordings",11B,,https://i.scdn.co/image/ab67616d00004851af4f070d3683d9b5027059ab
206,"Raspberry","GROUPLOVE",64,105,"indie rock, la indie, modern alternative rock, modern rock, pov: indie, stomp and holler","Rock, Pop, Folk/Acoustic","Spreading Rumours",2013-09-17,03:16,49,78,3,0,45,0,10,-5,D#/E♭ Major,4,2023-10-11,1F5A4LpF8ylUVtPoMAvNvn,"Canvasback/ATL",5B,https://p.scdn.co/mp3-preview/4d01e0472057dc113fc84a64f2338271350c5f83?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514cfe4b79188595b591b1f50a
207,"Head In The Clouds","The Beths",29,167,"auckland indie, bubblegrunge, indie rock, kiwi rock, modern power pop, nz indie","Rock, Pop","Expert In A Dying Field",2022-09-16,04:01,33,74,0,0,30,0,0,-9,D Major,4,2023-10-11,0qxiJpJekoK3xAV6pKu4CI,"Carpark Records",10B,https://p.scdn.co/mp3-preview/ec4ab4a940fa9920d531a6c4c91d61c0f32633a9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851129c475dae52b04877addc1c
208,"Baby Luv","Nilüfer Yanya",34,116,"art pop, uk alternative pop","Pop","Inside Out",2021-09-29,03:27,83,45,46,0,68,0,10,-8,C♯/D♭ Major,4,2023-10-11,6P8b9TwBbPiZ0BvyPUaIYO,"ATO Records",3B,https://p.scdn.co/mp3-preview/422d4602b2da6eb177dc16fc2db7d8c8a8b6bf7e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fa3cc9f9454d17f753267dc8
209,"Pretty Pimpin","Kurt Vile",62,91,"art pop, chamber pop, indie rock, modern folk rock, neo-psychedelic, noise pop, philly indie, singer-songwriter","Pop, Rock, Folk/Acoustic","b'lieve i'm goin down...",2015-09-25,04:58,57,66,9,29,76,0,0,-9,G#/A♭ Major,4,2023-10-11,47cNDW1xyM03mT2kseO41a,"Matador",4B,https://p.scdn.co/mp3-preview/a8376bface8b4e8e937b4e7b6f45b2d6f61c38f3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515a4d0c41fe3f12fdd304b59f
210,"Chaise Longue","Wet Leg",65,160,"crank wave, indie rock","Rock","Wet Leg",2022-04-08,03:16,68,75,0,11,94,0,10,-7,G Major,4,2023-10-11,0nys6GusuHnjSYLW0PYYb7,"Domino Recording Co",9B,https://p.scdn.co/mp3-preview/7a12d2aaedd8317046a46b667b0a1fd1429b0e36?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ea1126a33b0fb88e79915262
211,"Belinda Says","Alvvays",40,119,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie","Pop, Rock","Blue Rev",2022-10-07,02:45,35,75,7,0,31,0,0,-4,E Major,4,2023-10-11,3i0EeZLUWlEMSIHdeiSg1h,"Transgressive",12B,https://p.scdn.co/mp3-preview/18007b09f31e7dcbb9f6e88ca88b8d5a9aa9f10b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485128f1030e315741f2708da82f
212,"I Don't Wanna Go Out","Wet Leg",51,120,"crank wave, indie rock","Rock","Wet Leg",2022-04-08,03:41,55,73,1,20,48,0,30,-7,D Major,4,2023-10-11,59AasfokhGnvuaDVUiJqb7,"Domino Recording Co",10B,https://p.scdn.co/mp3-preview/dc8bd8f6b1fb089a77cfbd3addbc9cf219273277?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ea1126a33b0fb88e79915262
213,"Blood Like Wine","Balthazar",44,136,"belgian indie, belgian rock, ghent indie","Rock","Applause",2011-08-08,05:03,77,78,9,0,85,0,0,-7,D Major,4,2023-10-11,0MrRKJ0sYoDhe4kfpQlsPy,"Play It Again Sam",10B,https://p.scdn.co/mp3-preview/3c9fd91d1e8d2ca900c5c8ca42b81d9ffd38665e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485120e3a486d816d48c41c84bdd
214,"Ur Mum","Wet Leg",60,133,"crank wave, indie rock","Rock","Wet Leg",2022-04-08,03:21,69,72,1,28,55,0,40,-6,E Major,4,2023-10-11,4ug5wsIcbAPBun8TCKn2t6,"Domino Recording Co",12B,https://p.scdn.co/mp3-preview/a115cce8da93b2ab0b567be475c7e2ef9cf4c158?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ea1126a33b0fb88e79915262
215,"Concorde","Black Country, New Road",57,131,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Ants From Up There",2022-02-04,06:03,56,28,2,10,31,0,10,-12,A Major,3,2023-10-11,0y5akbuW5mCnnUe71xATpe,"Ninja Tune",11B,https://p.scdn.co/mp3-preview/c811602c0f220ebd8cb668931f4c5c7ddf127fbf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af2d88c14cb157d6b851dbb3
216,"Californication","Red Hot Chili Peppers",86,96,"alternative rock, funk metal, funk rock, permanent wave, rock","Rock, Metal","Californication (Deluxe Edition)",1999-06-08,05:29,59,77,0,0,33,0,10,-3,A Minor,4,2023-10-11,48UPSzbZjgc449aqz8bxox,"Warner Records",8A,https://p.scdn.co/mp3-preview/0fd595c5b63db10f4a99683f8248ea5d13700683?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485194d08ab63e57b0cae74e8595
217,"Lucifer On The Sofa","Spoon",36,122,"alternative rock, austindie, indie rock, modern rock","Rock, Folk/Acoustic","Lucifer On The Sofa",2022-02-11,05:09,74,48,77,43,38,0,0,-11,B Minor,4,2023-10-11,5C5EOBG95uBcP2mmytv8j7,"Matador",10A,https://p.scdn.co/mp3-preview/94013408b1cdaee716cb92dca0e657a42bd9a4f5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf9da915fb3a39eae51e6318
218,"Hourglass","Balthazar",42,116,"belgian indie, belgian rock, ghent indie","Rock","Sand",2021-02-26,03:56,75,63,40,7,55,0,0,-9,A#/B♭ Minor,4,2023-10-11,6StqMIYLLMrfGcry7wZi3b,"Play It Again Sam",3A,https://p.scdn.co/mp3-preview/366d45387cb0fb447f5dd444b683247ec86bc827?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f5923a4766a342f82b6e9c57
219,"shameless","Nilüfer Yanya",33,120,"art pop, uk alternative pop","Pop","PAINLESS",2022-03-04,04:34,77,43,29,0,60,0,10,-9,E Major,4,2023-10-11,12zbxFV5Z6rJk9aoHOXz2s,"ATO Records",12B,https://p.scdn.co/mp3-preview/cefc96441623a9cb9d0ba5d6299ca05ea2730987?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109deebfa040d94e1a20f241a
220,"Figure It Out","Royal Blood",70,108,"brighton indie, garage rock, modern alternative rock, modern blues rock, modern hard rock, modern rock, rock","Rock","Royal Blood",2014-08-22,03:03,66,81,23,1,69,0,20,-5,C Major,4,2023-10-11,3MjrueDQKVr6xDDseZwhEd,"Warner Records",8B,https://p.scdn.co/mp3-preview/dc3080224ca138988f2501b15f24779ab172a75b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485169471a9c0a6073a9beb81410
221,"Sprawl II (Mountains Beyond Mountains)","Arcade Fire",54,100,"alternative rock, baroque pop, canadian indie, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock","Rock, Pop","The Suburbs",2010-08-02,05:25,52,81,2,0,18,0,10,-6,G#/A♭ Major,4,2023-10-11,0U0p8weaMIbIFMJ0CPlvHV,"Sony Music CG",4B,https://p.scdn.co/mp3-preview/bfd619990410d5ca1ba83ffa4f9d8978183a95e0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851532391d63cfd6d32677f7af6
222,"Fuzzybrain","Dayglow",57,105,"austindie, indie rock, pov: indie","Folk/Acoustic, Rock, Pop","Fuzzybrain",2019-11-14,03:39,49,51,2,15,37,0,10,-8,G Major,4,2023-10-11,5sVXCez77vrBgDoeJKfv4U,"Very Nice Records",9B,https://p.scdn.co/mp3-preview/361ea8301c404e7c3c73a1b4b4ba49fe31913656?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515160eaecb31b739ea1c2eaa5
223,"A Passing Rain","The Beths",26,142,"auckland indie, bubblegrunge, indie rock, kiwi rock, modern power pop, nz indie","Rock, Pop","Expert In A Dying Field",2022-09-16,03:15,52,60,10,9,11,0,20,-11,D Major,4,2023-10-11,7K1hQXR6ud5cG4Rn7lSo5i,"Carpark Records",10B,https://p.scdn.co/mp3-preview/6be9527679990d5b21b5341ecab220e91306a6e6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851129c475dae52b04877addc1c
224,"chase me","Nilüfer Yanya",29,120,"art pop, uk alternative pop","Pop","PAINLESS",2022-03-04,03:30,87,83,11,0,98,0,0,-8,B Minor,4,2023-10-11,7r9K6HnwIM9rNL0VWtJN8N,"ATO Records",10A,https://p.scdn.co/mp3-preview/f2d05e4a0fb8070c42b53cdd9c63a822c4ce4fd3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109deebfa040d94e1a20f241a
225,"Crash","Nilüfer Yanya",28,92,"art pop, uk alternative pop","Pop","Crash",2020-10-20,03:46,55,77,5,0,57,10,10,-8,G Major,4,2023-10-11,57EJssLpMX6oOIRmWLmZWq,"ATO Records",9B,https://p.scdn.co/mp3-preview/c12e521965d7958c283cb803dc4d29238e76954f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0fcd455b382b4a5b9dc4a2
226,"Rewind - Echo Mountain Sessions","Sylvan Esso",49,83,"art pop, chamber pop, etherpop, indie pop, indie rock, indietronica, shimmer pop","Pop, Rock","Echo Mountain Sessions EP",2017-07-28,04:50,42,32,52,0,12,0,10,-14,A Major,4,2023-10-11,6vXBhZm9Yv8CvYX9ukLNz8,"Loma Vista",11B,,https://i.scdn.co/image/ab67616d000048511fc08eb0d6f3991d1b906415
